Komponente;MassPropVolume;MassPropMass;MassPropArea;Material;INTEROP_FEATURE_AUTHOR;INTEROP_FEATURE_ID;INTEROP_FEATURE_LAST_UPDATE_GMT;INTEROP_FEATURE_PART_NAME;MaterialMissingAssignments;MaterialMultipleAssigned;Nummer
temp_model;294303.4742753411;2.3045845577994575;38298.2888737192;N/A;Step;GPLE60-3S;24-Mar-2026 20:00:59;GPLE60-3S;TRUE;FALSE;50
temp_model;294303.474275341;2.3045845577994575;38298.2888737192;N/A;Step;GPLE60-3S;24-Mar-2026 20:00:59;GPLE60-3S;TRUE;FALSE;200
